# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  106       8.026685746594e-10       4.191832969426e-14       5.061112239557e-12       0.000000000000e+00       1.306951289107e-11       4.628862496439e-13      -4.006602112754e-15 
  107       7.921713328625e-10       4.273666835674e-14       5.053329663516e-12       0.000000000000e+00       1.276285853914e-11       4.482047967411e-13      -3.966041393558e-15 
  108       7.818931192475e-10       4.355216030393e-14       5.044062684289e-12       0.000000000000e+00       1.246543732346e-11       4.342906028372e-13      -3.925179001259e-15 
  109       7.718366557107e-10       4.436426991130e-14       5.033329124298e-12       0.000000000000e+00       1.217711264516e-11       4.210955754936e-13      -3.884139612094e-15 
  110       7.620026726659e-10       4.517245564287e-14       5.021147511645e-12       0.000000000000e+00       1.189767452607e-11       4.085642112335e-13      -3.843051283131e-15 
  111       7.523898397803e-10       4.597617017784e-14       5.007537061776e-12       0.000000000000e+00       1.162683730137e-11       3.966333909462e-13      -3.802045451863e-15 
  112       7.429946967110e-10       4.677486053716e-14       4.992517659137e-12       0.000000000000e+00       1.136423731223e-11       3.852321752899e-13      -3.761256935800e-15 
  113       7.338115838404e-10       4.756796821017e-14       4.976109838838e-12       0.000000000000e+00       1.110943059837e-11       3.742816000960e-13      -3.720823932067e-15 
  114       7.248325730125e-10       4.835492928114e-14       4.958334768311e-12       0.000000000000e+00       1.086189059072e-11       3.636944717725e-13      -3.680888016991e-15 
  115       7.160473982692e-10       4.913517455594e-14       4.939214228969e-12       0.000000000000e+00       1.062100580405e-11       3.533751627076e-13      -3.641594145701e-15 
  116       7.074468504019e-10       4.990813981491e-14       4.918770559020e-12       0.000000000000e+00       1.038621691330e-11       3.432395224290e-13      -3.603063973447e-15 
  117       6.990335769047e-10       5.067329771530e-14       4.897026513228e-12       0.000000000000e+00       1.015745182284e-11       3.332777948607e-13      -3.565312140616e-15 
  118       6.908124711364e-10       5.143013002334e-14       4.874005351578e-12       0.000000000000e+00       9.934739406733e-12       3.234990020238e-13      -3.528319761417e-15 
  119       6.827872877776e-10       5.217811804881e-14       4.849730858124e-12       0.000000000000e+00       9.718073794732e-12       3.139114862966e-13      -3.492059957709e-15 
