# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  128       6.199710023694e-10       5.891219625852e-14       4.569762731534e-12       5.798392431341e-16       8.020638936688e-12       2.372369718099e-13      -3.189992413780e-15 
  129       6.138550742363e-10       5.955074538703e-14       4.534324720261e-12       5.893973485370e-16       7.855787733926e-12       2.298525315876e-13      -3.157678175594e-15 
  130       6.079055732261e-10       6.017484555334e-14       4.497930187989e-12       5.990533071525e-16       7.694817892152e-12       2.226993221834e-13      -3.125361151084e-15 
  131       6.021254664467e-10       6.078408837656e-14       4.460608556907e-12       6.088069958031e-16       7.537750555172e-12       2.157761746394e-13      -3.093064229808e-15 
  132       5.965170185644e-10       6.137807384366e-14       4.422389569278e-12       6.186582471685e-16       7.384589326632e-12       2.090809358799e-13      -3.060808931655e-15 
  133       5.910817707423e-10       6.195641063933e-14       4.383303269442e-12       6.286068487864e-16       7.235319778907e-12       2.026104427807e-13      -3.028615352102e-15 
  134       5.858205195778e-10       6.251871647589e-14       4.343379985816e-12       6.386525420540e-16       7.089908961990e-12       1.963604962381e-13      -2.996502107468e-15 
  135       5.807332960402e-10       6.306461842312e-14       4.302650312902e-12       6.487950212302e-16       6.948304912382e-12       1.903258352384e-13      -2.964486280171e-15 
  136       5.758193444091e-10       6.359375323810e-14       4.261145093283e-12       6.590339324360e-16       6.810436161979e-12       1.845001109272e-13      -2.932583363980e-15 
  137       5.710771012120e-10       6.410576769512e-14       4.218895399626e-12       6.693688726568e-16       6.676211246965e-12       1.788758606787e-13      -2.900807209271e-15 
  138       5.665041741620e-10       6.460031891551e-14       4.175932516687e-12       6.797993887435e-16       6.545518216697e-12       1.734444821651e-13      -2.869169968285e-15 
  139       5.620973210956e-10       6.507707469753e-14       4.132287923314e-12       6.903249764142e-16       6.418224142598e-12       1.681962074256e-13      -2.837682040378e-15 
  140       5.578524289109e-10       6.553571384621e-14       4.087993274442e-12       7.009450792553e-16       6.294174627042e-12       1.631200769362e-13      -2.806352017282e-15 
  141       5.537644925052e-10       6.597592650322e-14       4.043080383104e-12       7.116590877234e-16       6.173193312249e-12       1.582039136786e-13      -2.775186628353e-15 
  142       5.498275937128e-10       6.639741447673e-14       3.997581202425e-12       7.224663381462e-16       6.055081389169e-12       1.534342972096e-13      -2.744190685834e-15 
  143       5.460348802430e-10       6.679989157128e-14       3.951527807633e-12       7.333661117249e-16       5.939617106373e-12       1.487965377305e-13      -2.713367030103e-15 
  144       5.423803086516e-10       6.718308876068e-14       3.904952400297e-12       7.443579546423e-16       5.826603115422e-12       1.442776620471e-13      -2.682717471900e-15 
  145       5.388641113855e-10       6.754676958513e-14       3.857887359542e-12       7.554426760673e-16       5.716014804360e-12       1.398757579644e-13      -2.652245839250e-15 
  146       5.354878311860e-10       6.789071690617e-14       3.810365161695e-12       7.666214471006e-16       5.607865722417e-12       1.355915061197e-13      -2.621955128256e-15 
  147       5.322525946259e-10       6.821472855446e-14       3.762418340788e-12       7.778954893411e-16       5.502160842385e-12       1.314252422692e-13      -2.591846484524e-15 
  148       5.291591011847e-10       6.851861768752e-14       3.714079470678e-12       7.892660757332e-16       5.398896344428e-12       1.273769486668e-13      -2.561919154145e-15 
  149       5.262076123248e-10       6.880221314736e-14       3.665381147185e-12       8.007345314132e-16       5.298059399900e-12       1.234462454434e-13      -2.532170434682e-15 
  150       5.233979405678e-10       6.906535981824e-14       3.616355970222e-12       8.123022345569e-16       5.199627955148e-12       1.196323819855e-13      -2.502595626156e-15 
  151       5.207294385697e-10       6.930791898433e-14       3.567036525918e-12       8.239706172259e-16       5.103570515328e-12       1.159342283149e-13      -2.473187982026e-15 
  152       5.182009881977e-10       6.952976868742e-14       3.517455368754e-12       8.357411662147e-16       5.009845928218e-12       1.123502664670e-13      -2.443938660180e-15 
  153       5.158109896055e-10       6.973080408461e-14       3.467645003694e-12       8.476154238978e-16       4.918403168025e-12       1.088785818704e-13      -2.414836673915e-15 
  154       5.135573503098e-10       6.991093780600e-14       3.417637868309e-12       8.595949890766e-16       4.829181119201e-12       1.055168547256e-13      -2.385868842924e-15 
  155       5.114374742659e-10       7.007010031242e-14       3.367466314911e-12       8.716815178259e-16       4.742108360251e-12       1.022623513841e-13      -2.357019744280e-15 
  156       5.094482509438e-10       7.020824025309e-14       3.317162592683e-12       8.838767243413e-16       4.657102947546e-12       9.911191572745e-14      -2.328271663421e-15 
  157       5.075860444042e-10       7.032532482332e-14       3.266758829809e-12       8.961823817860e-16       4.574072199137e-12       9.606196054634e-14      -2.299604545135e-15 
  158       5.058466823743e-10       7.042134012222e-14       3.216287015601e-12       9.086003231375e-16       4.492912478562e-12       9.310845891949e-14      -2.270995944543e-15 
  159       5.042254453240e-10       7.049629151041e-14       3.165778982633e-12       9.211324420348e-16       4.413508978659e-12       9.024693559275e-14      -2.242420978087e-15 
  160       5.027170555417e-10       7.055020396769e-14       3.115266388869e-12       9.337806936250e-16       4.335735505379e-12       8.747245835813e-14      -2.213852274514e-15 
  161       5.013168264181e-10       7.058313237463e-14       3.064780719717e-12       9.465467987757e-16       4.259480749206e-12       8.478048845476e-14      -2.185267452267e-15 
  162       5.000242474453e-10       7.059519262824e-14       3.014353331918e-12       9.594313255368e-16       4.184730164107e-12       8.216953438224e-14      -2.156672397678e-15 
